片名,people,score,世界觀,作品劇情,動畫品質,勵志,大眾取向,心靈治癒,感動,熱血,男性取向,發人深省,聲優配音,角色設定,輕鬆歡樂,重視思考,音樂音效,題材創意
花開物語,0.199173126615,0.948453608247,0.0,0.779069767442,0.879518072289,0.369863013699,0.0,0.0,0.0,0.0,0.0,0.0,0.603174603175,0.696202531646,0.0,0.0,0.0,0.0
空之境界劇場版 終章 空之境界,0.0208785529716,0.876288659794,0.0,0.686046511628,0.843373493976,0.0,0.0,0.0,0.0,0.0,0.0,0.515151515152,0.0,0.670886075949,0.0,0.0,0.55421686747,0.0
雙星之陰陽師,0.112971576227,0.917525773196,0.0,0.313953488372,0.240963855422,0.0,0.0,0.0,0.0,0.351648351648,0.0,0.0,0.238095238095,0.303797468354,0.0,0.0,0.0,0.0
中二病也想談戀愛！,0.174780361757,0.938144329897,0.0,0.755813953488,0.867469879518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.730158730159,0.860759493671,0.586206896552,0.0,0.0,0.0
請問您今天要來點兔子嗎？,0.097984496124,0.958762886598,0.0,0.0,0.638554216867,0.0,0.0,0.808219178082,0.0,0.0,0.0,0.0,0.793650793651,0.620253164557,0.67816091954,0.0,0.0,0.0
灼眼的夏娜,0.253746770026,0.927835051546,0.0,0.813953488372,0.566265060241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.968253968254,0.873417721519,0.0,0.0,0.0,0.507246376812
侵略陸地!花枝娘 OAD,0.00516795865633,0.896907216495,0.0,0.0,0.626506024096,0.0,0.890625,0.0,0.0,0.0,0.0,0.0,0.0,0.860759493671,0.850574712644,0.0,0.0,0.753623188406
赤髮白雪姬 第二季,0.0431007751938,0.969072164948,0.0,0.767441860465,0.674698795181,0.0,0.0,0.520547945205,0.0,0.0,0.0,0.0,0.698412698413,0.696202531646,0.0,0.0,0.0,0.0
白箱 SHIROBAKO,0.0580878552972,0.969072164948,0.0,0.825581395349,0.819277108434,0.72602739726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.683544303797,0.0,0.0,0.0,0.797101449275
男子啦啦隊！！,0.0231524547804,0.958762886598,0.0,0.523255813953,0.0,0.561643835616,0.0,0.0,0.0,0.549450549451,0.0,0.0,0.412698412698,0.0,0.0,0.0,0.0,0.521739130435
JOJO 的奇妙冒險 不滅鑽石,0.21322997416,1.0,0.397260273973,0.720930232558,0.469879518072,0.0,0.0,0.0,0.0,0.549450549451,0.0,0.0,0.0,0.670886075949,0.0,0.0,0.0,0.0
夏日大作戰,0.115865633075,0.948453608247,0.0,0.93023255814,0.698795180723,0.0,0.0,0.0,0.481012658228,0.0,0.0,0.0,0.0,0.544303797468,0.0,0.0,0.0,0.797101449275
亞人醬有話要說,0.0469250645995,0.989690721649,0.0,0.0,0.542168674699,0.0,0.0,0.41095890411,0.0,0.0,0.0,0.0,0.492063492063,0.518987341772,0.48275862069,0.0,0.0,0.0
我的妹妹哪有這麼可愛！,0.251472868217,0.917525773196,0.0,0.767441860465,0.710843373494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.825396825397,0.860759493671,0.0,0.0,0.0,0.608695652174
妖精的旋律,0.0594315245478,0.927835051546,0.0,0.953488372093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.484848484848,0.0,0.822784810127,0.0,0.0,0.433734939759,0.724637681159
來自風平浪靜的明日,0.137157622739,0.979381443299,0.0,0.802325581395,0.855421686747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52380952381,0.632911392405,0.0,0.0,0.530120481928,0.0
JOJO 的奇妙冒險,0.0700775193798,0.979381443299,0.0,0.686046511628,0.457831325301,0.0,0.0,0.0,0.0,0.604395604396,0.0,0.0,0.0,0.632911392405,0.0,0.0,0.0,0.420289855072
七龍珠 Z：復活的「F」,0.00372093023256,0.79381443299,0.0,0.0,0.759036144578,0.0,0.640625,0.0,0.0,0.549450549451,0.0,0.0,0.0,0.518987341772,0.413793103448,0.0,0.0,0.0
果然我的青春戀愛喜劇搞錯了。續,0.155865633075,0.979381443299,0.0,0.697674418605,0.506024096386,0.0,0.0,0.0,0.0,0.0,0.0,0.69696969697,0.0,0.670886075949,0.0,0.590909090909,0.0,0.0
Yuri on Ice,0.0105426356589,0.969072164948,0.0,0.651162790698,0.578313253012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.555555555556,0.670886075949,0.0,0.0,0.566265060241,0.0
暗殺教室 第二季,0.233074935401,0.989690721649,0.0,0.697674418605,0.506024096386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.518987341772,0.310344827586,0.0,0.0,0.463768115942
Re：從零開始的異世界生活,1.0,1.0,0.301369863014,0.639534883721,0.55421686747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.507936507937,0.506329113924,0.0,0.0,0.0,0.0
我的朋友很少,0.169715762274,0.896907216495,0.0,0.581395348837,0.66265060241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.730158730159,0.848101265823,0.689655172414,0.0,0.0,0.0
妄想學生會,0.0968475452196,0.907216494845,0.0,0.523255813953,0.469879518072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.746835443038,0.827586206897,0.0,0.0,0.608695652174
狼的孩子雨和雪,0.0478552971576,0.958762886598,0.0,0.883720930233,0.66265060241,0.0,0.0,0.616438356164,0.924050632911,0.0,0.0,0.0,0.0,0.607594936709,0.0,0.0,0.0,0.0
未來日記,0.131989664083,0.938144329897,0.561643835616,0.96511627907,0.638554216867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.911392405063,0.0,0.0,0.0,0.913043478261
政宗君的復仇,0.00444444444444,0.958762886598,0.0,0.697674418605,0.698795180723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.809523809524,0.759493670886,0.551724137931,0.0,0.0,0.0
金融 C 風暴,0.0916795865633,0.896907216495,0.876712328767,0.837209302326,0.481927710843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.651515151515,0.0,1.0
男子高校生的日常,0.126304909561,0.948453608247,0.0,0.558139534884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.698412698413,0.632911392405,0.908045977011,0.0,0.0,0.608695652174
無畏魔女,0.0282170542636,0.948453608247,0.520547945205,0.372093023256,0.361445783133,0.0,0.0,0.0,0.0,0.285714285714,0.0,0.0,0.0,0.607594936709,0.0,0.0,0.0,0.0
當女孩遇到熊,0.139534883721,0.938144329897,0.0,0.0,0.518072289157,0.0,0.0,0.671232876712,0.0,0.0,0.0,0.0,0.603174603175,0.493670886076,0.689655172414,0.0,0.0,0.0
笨蛋，測驗，召喚獸,0.218914728682,0.917525773196,0.0,0.720930232558,0.566265060241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.886075949367,0.67816091954,0.0,0.0,0.840579710145
言葉之庭,0.0595348837209,0.948453608247,0.0,0.802325581395,1.0,0.0,0.0,0.0,0.696202531646,0.0,0.0,0.0,0.619047619048,0.0,0.0,0.0,0.686746987952,0.0
歡迎加入NHK,0.031007751938,0.886597938144,0.0,0.802325581395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.787878787879,0.365079365079,0.708860759494,0.0,0.0,0.0,0.826086956522
化物語,0.209715762274,0.948453608247,0.0,0.872093023256,0.614457831325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.587301587302,0.949367088608,0.0,0.0,0.0,0.884057971014
命運石之門,0.234728682171,0.989690721649,0.876712328767,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79746835443,0.0,0.727272727273,0.0,0.840579710145
K-ON！輕音部,0.499741602067,0.958762886598,0.0,0.476744186047,0.530120481928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.904761904762,0.835443037975,0.0,0.0,0.855421686747,0.0
超時空要塞 Frontier,0.0819638242894,0.948453608247,0.0,0.558139534884,0.722891566265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.873015873016,0.594936708861,0.0,0.0,1.0,0.0
黑白來看守所,0.0722480620155,0.969072164948,0.0,0.383720930233,0.373493975904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.518987341772,0.528735632184,0.0,0.0,0.478260869565
東京地震 8.0,0.0550904392765,0.938144329897,0.0,0.93023255814,0.518072289157,0.0,0.0,0.0,0.696202531646,0.0,0.0,0.757575757576,0.0,0.0,0.0,0.0,0.0,0.594202898551
東京殘響,0.080826873385,0.948453608247,0.0,0.813953488372,0.650602409639,0.0,0.0,0.0,0.0,0.0,0.0,0.681818181818,0.0,0.518987341772,0.0,0.0,0.0,0.565217391304
家有賤狗,0.00878552971576,0.896907216495,0.0,0.581395348837,0.0,0.0,0.640625,0.0,0.0,0.0,0.0,0.0,0.0,0.696202531646,0.655172413793,0.0,0.0,0.753623188406
一拳超人,0.264082687339,0.989690721649,0.0,0.488372093023,0.698795180723,0.0,0.0,0.0,0.0,0.714285714286,0.0,0.0,0.0,0.658227848101,0.0,0.0,0.0,0.521739130435
蟲師,0.0335917312661,0.948453608247,0.0,0.883720930233,0.55421686747,0.0,0.0,0.0,0.0,0.0,0.0,0.439393939394,0.0,0.0,0.0,0.0,0.578313253012,0.898550724638
狼與辛香料,0.200413436693,0.948453608247,0.0,0.941860465116,0.506024096386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.555555555556,0.886075949367,0.0,0.0,0.0,0.782608695652
Kanon,0.0951937984496,0.948453608247,0.0,0.96511627907,0.566265060241,0.0,0.0,0.0,0.481012658228,0.0,0.0,0.0,0.52380952381,0.784810126582,0.0,0.0,0.0,0.0
螢火蟲之墓,0.0164341085271,0.917525773196,0.0,0.976744186047,0.361445783133,0.0,0.0,0.0,0.721518987342,0.0,0.0,0.742424242424,0.0,0.569620253165,0.0,0.0,0.0,0.0
AIR,0.127131782946,0.948453608247,0.0,0.96511627907,0.44578313253,0.0,0.0,0.0,0.481012658228,0.0,0.0,0.0,0.0,0.696202531646,0.0,0.0,0.614457831325,0.0
鋼之鍊金術師 BROTHERHOOD,0.212816537468,0.979381443299,0.41095890411,1.0,0.614457831325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.810126582278,0.0,0.0,0.0,0.608695652174
我的英雄學院,0.0241860465116,0.948453608247,0.0,0.686046511628,0.566265060241,0.547945205479,0.0,0.0,0.0,0.758241758242,0.0,0.0,0.0,0.620253164557,0.0,0.0,0.0,0.0
文豪野犬 第二季,0.082480620155,0.989690721649,0.0,0.558139534884,0.55421686747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.507936507937,0.607594936709,0.0,0.0,0.0,0.333333333333
屍鬼,0.0439276485788,0.886597938144,0.0,0.93023255814,0.578313253012,0.0,0.0,0.0,0.0,0.0,0.0,0.636363636364,0.0,0.79746835443,0.0,0.0,0.0,0.724637681159
打工吧！魔王大人,0.121033591731,0.938144329897,0.0,0.848837209302,0.734939759036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.873417721519,0.666666666667,0.0,0.0,0.63768115942
TRICKSTER–少年偵探團,0.00186046511628,0.0,0.0,0.511627906977,0.530120481928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52380952381,0.632911392405,0.0,0.5,0.0,0.0
長騎美眉,0.0241860465116,0.927835051546,0.0,0.267441860465,0.277108433735,0.0,0.0,0.397260273973,0.0,0.0,0.0,0.0,0.571428571429,0.0,0.574712643678,0.0,0.0,0.0
咕嚕咕嚕魔法陣,0.00940568475452,0.876288659794,0.0,0.744186046512,0.0,0.0,0.28125,0.0,0.0,0.0,0.0,0.0,0.0,0.810126582278,0.471264367816,0.0,0.0,0.855072463768
